genre,count
Electropop,11
Pop,10
Alternative Rock,7
Alternative,4
pop punk,3
emo,3
Pop-Rock,3
flamenco,3
Pop Punk,2
Indie Pop,2
latin pop,2
rap metal,2
alternative r&b,2
art pop,2
Country,1
k-pop,1
nightcore,1
Rap,1
Hip Hop,1
r&b,1
Rock,1
Post-Grunge,1
post-rock,1
soft pop,1
house,1
tech house,1
french house,1
electronic,1
electro,1
Soul,1
german indie,1
Dance,1
Electrónica,1
punk,1
Pop Rock,1
skate punk,1
nu metal,1
rock,1
alternative metal,1
hard techno,1
techno,1
tekno,1
hardcore techno,1
rap,1
hip hop,1
latin rock,1
Latin Pop,1
