album,count
HIT ME HARD AND SOFT,4
El Silencio Del Ruido,3
Idols,1
Trench,1
Monster,1
DECIDE,1
Wasted Love,1
folklore,1
Into Your Arms (feat. Ava Max),1
Palabra de Honor,1
Zombie (Recorded at Hansa Studios),1
The Line (from the series Arcane League of Legends),1
The Secret of Us (Deluxe),1
Amén,1
I Wanna Be Yours x Summertime Sadness,1
JUMP,1
Manic,1
Chayanne,1
Clancy,1
EUSEXUA,1
Maps,1
The Contract,1
Dirt Femme,1
Indigo (Extended),1
My Darkest Days (Deluxe Edition),1
Wieso jetzt?,1
= (Tour Edition),1
Number Three,1
Eusexua (Anyma Remix),1
God Is A Weapon,1
Lost Highway,1
Dreamin (feat. Daya),1
FUNNY little FEARS,1
Discovery,1
Pieces of A Dream,1
Hand That Feeds (From the Film Ballerina),1
The Fray,1
13 Voices,1
From Zero,1
Única,1
Euphoric Night,1
Black Friday,1
Камин (feat. JONY),1
Bikini Rojo,1
CARITA TRISTE,1
