artist,count
Twenty One Pilots,4
Billie Eilish,4
Samuraï,3
YUNGBLUD,2
Halsey,2
Rocío Jurado,2
FKA twigs,2
Paramore,1
Djo,1
JJ,1
Gracie Abrams,1
Azucar Moreno,1
Taylor Swift,1
Witt Lowry,1
BLACKPINK,1
TommyMuzzic,1
Chayanne,1
Message To Bears,1
Tove Lo,1
Chris Brown,1
My Darkest Days,1
JBS,1
Ed Sheeran,1
My Chemical Romance,1
Falling In Reverse,1
NightCrawl,1
Dom Dolla,1
Damiano David,1
Daft Punk,1
Anastacia,1
The Fray,1
Sum 41,1
Linkin Park,1
Onlynumbers,1
Tom Odell,1
EMIN,1
Julieta,1
Ana Mena,1
