artist,plays
Twenty One Pilots,700
Lana Del Rey,643
Billie Eilish,635
Samuraï,448
Belén Aguilera,388
Tove Lo,341
Linkin Park,335
FKA twigs,232
YUNGBLUD,228
Dua Lipa,224
Onlynumbers,214
MilleniumKid,195
Kavinsky,193
Halsey,183
Rocío Jurado,182
Daft Punk,174
Coldplay,161
Dom Dolla,151
Paolo Ferrara,143
Sabrina Carpenter,135
Paramore,132
Falling In Reverse,131
Damiano David,124
Julieta,123
Djo,122
Taylor Swift,119
Sum 41,118
Ed Sheeran,111
JJ,108
Gracie Abrams,107
Witt Lowry,103
TommyMuzzic,90
JBS,88
Message To Bears,86
Bring Me The Horizon,86
Chris Brown,84
NightCrawl,84
A Day To Remember,78
Azucar Moreno,78
The Cinematic Orchestra,77
Chayanne,76
BLACKPINK,75
M83,75
Bullet For My Valentine,74
Planet Funk,73
Hans Zimmer,73
The 1975,73
Novo Amor,72
Anastacia,72
Tom Odell,71
Athlete,70
Ana Mena,70
Tiësto,68
EMIN,67
Debbii Dawson,66
Yeah Yeah Yeahs,66
Zella Day,65
The Fray,64
Miley Cyrus,64
Will Sparks,60
My Darkest Days,60
Kesha,60
My Chemical Romance,58
Camela,57
Belinda,57
The Neighbourhood,57
Nelly Furtado,56
Motionless In White,55
Alex LeMirage,55
Lebo M.,54
Rise Against,54
Martin Garrix,53
The Goo Goo Dolls,51
moon.,50
e.motion,50
Chappell Roan,49
The Weeknd,47
Robin Schulz,46
The Amity Affliction,46
Rauf & Faik,45
Dj Bountyhunter,45
New Constellations,45
Journey,44
Wiz Khalifa,43
Morgan Seatree,43
Breaking Benjamin,42
BABYMETAL,40
MIIA,40
Kronan,40
KOMET,40
Bastille,39
ROSÉ,39
ILLENIUM,38
Tate McRae,37
Isabel Pantoja,36
David Guetta,36
The Rolling Stones,36
Tame Impala,34
RY X,33
HYPERAVE,33
cassö,33
The Red Jumpsuit Apparatus,32
d4vd,31
System Of A Down,31
Red,31
Rihanna,30
The Cranberries,30
Empire Of The Sun,30
Indila,29
Sia,28
Dj Mad Dog,28
Yellow Claw,27
JAY-Z,27
Owl City,27
Lorenzo Raganzini,27
Thirty Seconds To Mars,26
bôa,26
venbee,25
MS MR,23
lostprophets,23
Stone Sour,23
Ben Böhmer,22
PAWSA,22
Lady Gaga,22
Melanie Martinez,22
Woodkid,22
Chusi,22
NOTHING MORE,21
my head is empty,21
Berri Txarrak,20
SLAVES,20
WizTheMc,20
Good Charlotte,20
Ellie Goulding,20
BYØRN,19
3 Doors Down,19
Lord Huron,19
Madison Beer,19
Metallica,18
Fantasm,18
MARINA,17
Editors,17
Placebo,16
Normandie,16
MEG MYERS,15
Juul Exler,15
misterio911,15
MGMT,15
Korn,15
Seether,15
Bad Omens,14
Nicolas Julian,14
HIM,14
The Blaze,13
STARSET,13
masami,12
The Whistlers,12
Majed,12
Calvin Harris,12
Cascada,12
Arcane,12
Slipknot,11
The Sound of Arrows,11
oskar med k,10
Foo Fighters,10
Ghost,10
Avenged Sevenfold,10
Spineshank,10
Alok,10
Creedence Clearwater Revival,10
Foals,10
Sean Paul,10
Hurts,10
Yung Beef,9
TOTO,9
Rob Zombie,9
Nickelback,9
Brandon Flowers,9
Luciid,9
HUGEL,9
Eminem,8
Tss Proyect,8
Distorted Dreams,8
Kodaline,8
Charli xcx,8
Mack Lorén,8
RADWIMPS,8
AFROJACK,8
Nic Johnston,7
Hollow Coves,7
Fink,7
becks,7
Jazzy,7
Muse,7
Kings of Leon,7
BENNETT,7
Band of Horses,7
The Killers,7
Katy Perry,6
FISHER,6
Boyce Avenue,6
Jutes,6
Artemas,6
RAYE,6
Keane,6
Bad Gyal,5
Start Stop,5
Spiritbox,5
sombr,5
Recycled J,5
Sonny Fodera,5
Alies,5
Enmity,5
Carlos Ares,5
Of Monsters and Men,5
Depeche Mode,5
Disclosure,5
Joselito,4
Damien Rice,4
Wednesday Addams,4
Eros Ramazzotti,4
Rivo,4
HYPER BUNKER,4
Basswell,4
I See Stars,4
Lorde,4
Creeds,4
LF SYSTEM,4
Currents,4
